,Year,Quater,brand,user_count,percentage_share,state_name
79,2021,3,Samsung,12028,0.17957063091576841,Andaman and Nicobar
80,2021,3,Oppo,5853,0.0873816846316921,Andaman and Nicobar
81,2021,3,Realme,4808,0.0717804783374638,Andaman and Nicobar
82,2021,3,OnePlus,2306,0.03442715953539757,Andaman and Nicobar
83,2021,3,Huawei,1567,0.023394344749335643,Andaman and Nicobar
84,2021,3,Apple,1283,0.01915439968946881,Andaman and Nicobar
85,2021,3,Tecno,1178,0.017586814368039175,Andaman and Nicobar
86,2021,3,Motorola,1017,0.015183183541847063,Andaman and Nicobar
87,2021,3,Others,4593,0.06857066077453644,Andaman and Nicobar
88,2021,4,Vivo,17597,0.24515185288381164,Andaman and Nicobar
89,2021,4,Xiaomi,16968,0.2363889662858735,Andaman and Nicobar
90,2021,4,Samsung,12574,0.17517414321538033,Andaman and Nicobar
91,2021,4,Oppo,6127,0.08535803845082196,Andaman and Nicobar
92,2021,4,Realme,5830,0.08122039565338535,Andaman and Nicobar
93,2021,4,OnePlus,2691,0.03748955140707718,Andaman and Nicobar
94,2021,4,Apple,1490,0.020757871273335192,Andaman and Nicobar
95,2021,4,Huawei,1459,0.020325996099191977,Andaman and Nicobar
96,2021,4,Tecno,1417,0.01974087489551407,Andaman and Nicobar
97,2021,4,Motorola,1055,0.014697687378099749,Andaman and Nicobar
98,2021,4,Others,4572,0.06369462245750905,Andaman and Nicobar
99,2020,1,Xiaomi,6803,0.23981246474901297,Andaman and Nicobar
100,2020,1,Vivo,5880,0.20727580372250423,Andaman and Nicobar
101,2020,1,Samsung,5335,0.1880640157924422,Andaman and Nicobar
102,2020,1,Oppo,2557,0.09013677382966723,Andaman and Nicobar
103,2020,1,Realme,1511,0.05326424139875917,Andaman and Nicobar
104,2020,1,OnePlus,1184,0.04173716864072194,Andaman and Nicobar
105,2020,1,Huawei,891,0.03140862944162436,Andaman and Nicobar
106,2020,1,Apple,735,0.02590947546531303,Andaman and Nicobar
107,2020,1,Motorola,715,0.025204455724760294,Andaman and Nicobar
108,2020,1,Lenovo,500,0.017625493513818386,Andaman and Nicobar
109,2020,1,Others,2257,0.0795614777213762,Andaman and Nicobar
110,2020,2,Xiaomi,7805,0.2386120452461021,Andaman and Nicobar
111,2020,2,Vivo,7122,0.21773158055640476,Andaman and Nicobar
112,2020,2,Samsung,6030,0.1843472944053806,Andaman and Nicobar
113,2020,2,Oppo,2976,0.09098135126872516,Andaman and Nicobar
114,2020,2,Realme,1761,0.053836747172118615,Andaman and Nicobar
115,2020,2,OnePlus,1271,0.03885661877101804,Andaman and Nicobar
116,2020,2,Huawei,1005,0.030724549067563438,Andaman and Nicobar
117,2020,2,Apple,792,0.024212778966676857,Andaman and Nicobar
118,2020,2,Motorola,779,0.023815346988688476,Andaman and Nicobar
119,2020,2,Lenovo,552,0.01687557321919902,Andaman and Nicobar
120,2020,2,Others,2617,0.0800061143381229,Andaman and Nicobar
121,2020,3,Xiaomi,9794,0.2369420587879521,Andaman and Nicobar
122,2020,3,Vivo,9556,0.23118422644248215,Andaman and Nicobar
123,2020,3,Samsung,7572,0.18318616184831257,Andaman and Nicobar
124,2020,3,Oppo,3730,0.09023829684286924,Andaman and Nicobar
125,2020,3,Realme,2285,0.05528002903108745,Andaman and Nicobar
126,2020,3,OnePlus,1440,0.03483730494738115,Andaman and Nicobar
127,2020,3,Huawei,1213,0.029345590903592598,Andaman and Nicobar
128,2020,3,Motorola,907,0.021942663602274103,Andaman and Nicobar
129,2020,3,Apple,870,0.021047538405709446,Andaman and Nicobar
130,2020,3,Lenovo,606,0.014660699165356235,Andaman and Nicobar
131,2020,3,Others,3362,0.08133543002298295,Andaman and Nicobar
132,2020,4,Xiaomi,12398,0.23662111611573403,Andaman and Nicobar
133,2020,4,Vivo,12275,0.23427360867241775,Andaman and Nicobar
134,2020,4,Samsung,9938,0.18967096724940835,Andaman and Nicobar
135,2020,4,Oppo,4723,0.0901404687380716,Andaman and Nicobar
136,2020,4,Realme,2996,0.05717993739980151,Andaman and Nicobar
137,2020,4,OnePlus,1638,0.031261928391480266,Andaman and Nicobar
138,2020,4,Huawei,1472,0.028093747614321703,Andaman and Nicobar
139,2020,4,Motorola,1032,0.019696160012214674,Andaman and Nicobar
140,2020,4,Apple,973,0.018570119856477593,Andaman and Nicobar
141,2020,4,Lenovo,708,0.01351248186884495,Andaman and Nicobar
142,2020,4,Others,4243,0.08097946408122758,Andaman and Nicobar
143,2018,1,Xiaomi,1665,0.2470326409495549,Andaman and Nicobar
144,2018,1,Samsung,1445,0.21439169139465875,Andaman and Nicobar
145,2018,1,Vivo,982,0.1456973293768546,Andaman and Nicobar
146,2018,1,Oppo,501,0.07433234421364986,Andaman and Nicobar
147,2018,1,OnePlus,332,0.04925816023738872,Andaman and Nicobar
148,2018,1,Realme,316,0.04688427299703264,Andaman and Nicobar
149,2018,1,Apple,229,0.03397626112759644,Andaman and Nicobar
150,2018,1,Motorola,226,0.03353115727002967,Andaman and Nicobar
151,2018,1,Lenovo,202,0.02997032640949555,Andaman and Nicobar
152,2018,1,Huawei,158,0.02344213649851632,Andaman and Nicobar
153,2018,1,Others,684,0.10148367952522255,Andaman and Nicobar
154,2018,2,Xiaomi,2303,0.24486975013290802,Andaman and Nicobar
155,2018,2,Samsung,1923,0.20446570972886763,Andaman and Nicobar
156,2018,2,Vivo,1523,0.1619351408825093,Andaman and Nicobar
157,2018,2,Oppo,708,0.07527910685805422,Andaman and Nicobar
158,2018,2,OnePlus,466,0.049548112706007445,Andaman and Nicobar
159,2018,2,Realme,465,0.049441786283891544,Andaman and Nicobar
160,2018,2,Motorola,319,0.03391812865497076,Andaman and Nicobar
161,2018,2,Apple,308,0.03274853801169591,Andaman and Nicobar
162,2018,2,Lenovo,244,0.025943646996278574,Andaman and Nicobar
163,2018,2,Huawei,230,0.024455077086656035,Andaman and Nicobar
164,2018,2,Others,916,0.09739500265816055,Andaman and Nicobar
165,2018,3,Xiaomi,2950,0.24281833895793892,Andaman and Nicobar
166,2018,3,Samsung,2409,0.19828792493209318,Andaman and Nicobar
167,2018,3,Vivo,2063,0.1698082146678739,Andaman and Nicobar
168,2018,3,Oppo,988,0.08132356572557412,Andaman and Nicobar
169,2018,3,OnePlus,617,0.05078607292781299,Andaman and Nicobar
170,2018,3,Realme,603,0.04963371470902955,Andaman and Nicobar
