,Year,Quater,registeredUsers,appOpenings,state_name
127,2019,4,9323799,147973757,Gujarat
128,2021,1,14670126,264732874,Gujarat
129,2021,2,15735981,282432543,Gujarat
130,2021,3,16946761,379987151,Gujarat
131,2021,4,18139201,487846209,Gujarat
132,2020,1,10259843,165605122,Gujarat
133,2020,2,11392657,155264359,Gujarat
134,2020,3,12467847,184402472,Gujarat
135,2020,4,13605203,230497353,Gujarat
136,2018,1,2690048,0,Gujarat
137,2018,2,3565825,0,Gujarat
138,2018,3,4433183,0,Gujarat
139,2018,4,5579040,0,Gujarat
140,2022,1,209616,12440193,Sikkim
141,2022,2,220994,16993937,Sikkim
142,2022,3,232025,18748536,Sikkim
143,2022,4,241968,8948864,Sikkim
144,2019,1,58956,0,Sikkim
145,2019,2,70999,398520,Sikkim
146,2019,3,82128,1316804,Sikkim
147,2019,4,92972,1552004,Sikkim
148,2021,1,160213,2795331,Sikkim
149,2021,2,171740,4541121,Sikkim
150,2021,3,184693,5714565,Sikkim
151,2021,4,197407,5525552,Sikkim
152,2020,1,104631,1697163,Sikkim
153,2020,2,119921,1912335,Sikkim
154,2020,3,134773,2156470,Sikkim
155,2020,4,148543,2478670,Sikkim
156,2018,1,20051,0,Sikkim
157,2018,2,28097,0,Sikkim
158,2018,3,37637,0,Sikkim
159,2018,4,48538,0,Sikkim
160,2022,1,13539197,57524153,Delhi
161,2022,2,14260143,52553080,Delhi
162,2022,3,15009523,49919498,Delhi
163,2022,4,15764149,401864749,Delhi
164,2019,1,5499263,0,Delhi
165,2019,2,6165448,43731570,Delhi
166,2019,3,6782286,163381027,Delhi
167,2019,4,7289883,172682671,Delhi
168,2021,1,10467210,281201600,Delhi
169,2021,2,11182699,164997774,Delhi
170,2021,3,11980061,223844376,Delhi
171,2021,4,12785127,345669353,Delhi
172,2020,1,7826197,178263986,Delhi
173,2020,2,8391139,142852253,Delhi
174,2020,3,9044174,190025029,Delhi
175,2020,4,9747968,243433752,Delhi
176,2018,1,2087022,0,Delhi
177,2018,2,2756141,0,Delhi
178,2018,3,3504911,0,Delhi
179,2018,4,4630313,0,Delhi
180,2022,1,21919787,236131065,West Bengal
181,2022,2,23124388,250276369,West Bengal
182,2022,3,24372048,256445748,West Bengal
183,2022,4,25536381,678066327,West Bengal
184,2019,1,7449425,0,West Bengal
185,2019,2,8612795,49514201,West Bengal
186,2019,3,9643222,176559011,West Bengal
187,2019,4,10885058,244326613,West Bengal
188,2021,1,16808799,316832674,West Bengal
189,2021,2,17979979,275341466,West Bengal
190,2021,3,19323278,348588666,West Bengal
191,2021,4,20644527,512335839,West Bengal
192,2020,1,11960822,207068218,West Bengal
193,2020,2,13222022,198589332,West Bengal
194,2020,3,14448366,246554831,West Bengal
195,2020,4,15662093,291721919,West Bengal
196,2018,1,2604789,0,West Bengal
197,2018,2,3833795,0,West Bengal
198,2018,3,4851740,0,West Bengal
199,2018,4,6279278,0,West Bengal
200,2022,1,38999692,836926025,Uttar Pradesh
201,2022,2,41247289,947480495,Uttar Pradesh
202,2022,3,43537920,1035702397,Uttar Pradesh
203,2022,4,45648650,1682003791,Uttar Pradesh
204,2019,1,12458661,0,Uttar Pradesh
205,2019,2,14316349,78394040,Uttar Pradesh
206,2019,3,16044607,268142606,Uttar Pradesh
207,2019,4,17949542,324068625,Uttar Pradesh
208,2021,1,29482075,639718324,Uttar Pradesh
209,2021,2,31651894,673598864,Uttar Pradesh
210,2021,3,34151882,803890116,Uttar Pradesh
211,2021,4,36617655,1175923794,Uttar Pradesh
212,2020,1,20136256,374282083,Uttar Pradesh
213,2020,2,22498519,383703534,Uttar Pradesh
214,2020,3,24838116,450784508,Uttar Pradesh
215,2020,4,27249134,552220798,Uttar Pradesh
216,2018,1,4694250,0,Uttar Pradesh
217,2018,2,6442554,0,Uttar Pradesh
218,2018,3,8096483,0,Uttar Pradesh
219,2018,4,10341964,0,Uttar Pradesh
220,2022,1,738628,18678798,Goa
221,2022,2,777779,19062157,Goa
222,2022,3,817830,19712764,Goa
223,2022,4,855202,43005212,Goa
224,2019,1,238152,0,Goa
225,2019,2,278940,1352232,Goa
226,2019,3,317194,4753892,Goa
227,2019,4,353546,6290543,Goa
228,2021,1,570035,15467672,Goa
229,2021,2,609106,12710361,Goa
230,2021,3,653458,16575111,Goa
231,2021,4,697178,28288254,Goa
232,2020,1,391900,7147233,Goa
233,2020,2,430639,5310126,Goa
234,2020,3,474962,6129766,Goa
235,2020,4,527584,10991118,Goa
236,2018,1,91936,0,Goa
237,2018,2,122174,0,Goa
238,2018,3,153802,0,Goa
239,2018,4,195350,0,Goa
240,2022,1,7302726,117482807,Punjab
241,2022,2,7702100,138965337,Punjab
242,2022,3,8097582,154625731,Punjab
243,2022,4,8462753,199899443,Punjab
