,Year,Quater,registeredUsers,appOpenings,state_name
641,2022,2,471663,3830290,Puducherry
642,2022,3,496570,4186911,Puducherry
643,2022,4,520649,24144184,Puducherry
644,2019,1,133059,0,Puducherry
645,2019,2,156458,661932,Puducherry
646,2019,3,177868,2476922,Puducherry
647,2019,4,204292,3263122,Puducherry
648,2021,1,346279,7914507,Puducherry
649,2021,2,369961,5178916,Puducherry
650,2021,3,396609,6899592,Puducherry
651,2021,4,423167,14257568,Puducherry
652,2020,1,230908,3820943,Puducherry
653,2020,2,255600,3057608,Puducherry
654,2020,3,285173,4222159,Puducherry
655,2020,4,319626,6377136,Puducherry
656,2018,1,49318,0,Puducherry
657,2018,2,65580,0,Puducherry
658,2018,3,81546,0,Puducherry
659,2018,4,109494,0,Puducherry
660,2022,1,18484658,316991599,Bihar
661,2022,2,19569894,348588438,Bihar
662,2022,3,20694376,336807385,Bihar
663,2022,4,21738117,834827202,Bihar
664,2019,1,5745117,0,Bihar
665,2019,2,6589759,39607022,Bihar
666,2019,3,7380265,126521298,Bihar
667,2019,4,8342274,163998097,Bihar
668,2021,1,13946288,355792608,Bihar
669,2021,2,14972134,371198660,Bihar
670,2021,3,16160771,421801379,Bihar
671,2021,4,17335981,647400838,Bihar
672,2020,1,9351234,183868505,Bihar
673,2020,2,10603767,218435035,Bihar
674,2020,3,11763213,266652644,Bihar
675,2020,4,12889833,317056600,Bihar
676,2018,1,2133804,0,Bihar
677,2018,2,3005872,0,Bihar
678,2018,3,3784535,0,Bihar
679,2018,4,4776665,0,Bihar
680,2022,1,7025275,331355981,Jharkhand
681,2022,2,7426174,379053485,Jharkhand
682,2022,3,7836429,414228860,Jharkhand
683,2022,4,8217638,396098729,Jharkhand
684,2019,1,2279329,0,Jharkhand
685,2019,2,2604854,14929066,Jharkhand
686,2019,3,2915511,55504460,Jharkhand
687,2019,4,3281371,70181789,Jharkhand
688,2021,1,5313049,141731331,Jharkhand
689,2021,2,5701503,184234107,Jharkhand
690,2021,3,6151843,230475998,Jharkhand
691,2021,4,6596196,284960009,Jharkhand
692,2020,1,3651393,74014713,Jharkhand
693,2020,2,4061035,76339276,Jharkhand
694,2020,3,4480027,99318784,Jharkhand
695,2020,4,4917938,126310835,Jharkhand
696,2018,1,885762,0,Jharkhand
697,2018,2,1230599,0,Jharkhand
698,2018,3,1532362,0,Jharkhand
699,2018,4,1913949,0,Jharkhand
700,2022,1,276483,24206053,Nagaland
701,2022,2,292104,28652431,Nagaland
702,2022,3,307386,31229366,Nagaland
703,2022,4,321205,11171582,Nagaland
704,2019,1,53911,0,Nagaland
705,2019,2,66891,362497,Nagaland
706,2019,3,80077,1244022,Nagaland
707,2019,4,93124,1454551,Nagaland
708,2021,1,207808,2980581,Nagaland
709,2021,2,223337,6716892,Nagaland
710,2021,3,241797,8661991,Nagaland
711,2021,4,259990,6383337,Nagaland
712,2020,1,107143,1684520,Nagaland
713,2020,2,130205,2119279,Nagaland
714,2020,3,173106,2868642,Nagaland
715,2020,4,192188,2922121,Nagaland
716,2018,1,15074,0,Nagaland
717,2018,2,22436,0,Nagaland
718,2018,3,32090,0,Nagaland
719,2018,4,42997,0,Nagaland
